id;documento
1;"The Pixies are an American alternative rock band formed in Boston; Massachusetts; in 1986."
2;Queens of the Stone Age is an American rock band formed in Seattle in 1996
3;The Beatles were an English rock band formed in Liverpool in 1960.
4;The Rolling Stones are an English rock band formed in London in 1962.
5;Led Zeppelin were an English rock band formed in London in 1968.
6;Metallica is an American heavy metal band. It was formed in Los Angeles in 1981
7;The Police were an English rock band formed in London in 1977.
8;"The Offspring is an American rock band formed in Garden Grove; California; in 1984."
9;"Weezer is an American rock band formed in Los Angeles; California; in 1992."
10;Lacuna Coil is an Italian heavy metal band from Milan. 
11;Queen are a British rock band formed in London in 1970.
12;Black Sabbath were an English heavy metal band formed in Birmingham in 1968
13;The Doors were an American rock band formed in Los Angeles in 1965
14;Pink Floyd are an English rock band formed in London in 1965
15;The Smashing Pumpkins is an American alternative rock band formed in Chicago in 1988 
16;Alice in Chains is an American rock band formed in Seattle in 1987
17;"Linkin Park is an American rock band formed in Agoura Hills; California; in 1996."
18;The Foo Fighters are an American rock band formed in Seattle in 1994.
19;"The Cardigans are a Swedish rock band formed in Jönköping; Sweden in 1992."
20;"Pearl Jam is an American rock band formed in Seattle; Washington; in 1990."
21;"Type O Negative was an American gothic doom metal band from Brooklyn; New York; formed in 1989."
22;"Stone Temple Pilots are an American rock band formed in San Diego; California; in 1989."
23;"Silverchair were an Australian rock band; which formed in 1992 in Newcastle; New South Wales"
24;The Cure are an English rock band formed in Crawley in 1976 
25;The Smiths were an English rock band formed in Manchester in 1982
26;"MGMT is an American rock band formed in 2002 in Middletown; Connecticut"
27;Megadeth is an American heavy metal band formed in Los Angeles in 1983
28;Joy Division were an English rock band formed in Salford in 1976.
29;"Soundgarden was an American rock band formed in Seattle; Washington; in 1984"
30;"System of a Down is an Armenian-American heavy metal band formed in Glendale; California; in 1994"
